County,State,CountyFIPS,Percentage
Rains County,Texas,48379,23.6
Randall County,Texas,48381,8.2
Reagan County,Texas,48383,6.2
Real County,Texas,48385,6.9
Red River County,Texas,48387,14.8
Reeves County,Texas,48389,7.6
Refugio County,Texas,48391,8.5
Roberts County,Texas,48393,4.9
Robertson County,Texas,48395,13.8
Rockwall County,Texas,48397,13.9
Runnels County,Texas,48399,12.1
Rusk County,Texas,48401,14
Sabine County,Texas,48403,5.6
San Augustine County,Texas,48405,20.3
San Jacinto County,Texas,48407,11.6
San Patricio County,Texas,48409,9.6
San Saba County,Texas,48411,4.8
Schleicher County,Texas,48413,5.1
Scurry County,Texas,48415,7.7
Shackelford County,Texas,48417,6.1
Shelby County,Texas,48419,9.2
Sherman County,Texas,48421,3.5
Smith County,Texas,48423,12.4
Somervell County,Texas,48425,6.3
Starr County,Texas,48427,10.6
Stephens County,Texas,48429,6.8
Sterling County,Texas,48431,9.5
Stonewall County,Texas,48433,5.2
Sutton County,Texas,48435,6.8
Swisher County,Texas,48437,5.5
Tarrant County,Texas,48439,10.3
Taylor County,Texas,48441,7.5
Terrell County,Texas,48443,8.3
Terry County,Texas,48445,5.5
Throckmorton County,Texas,48447,4.4
Titus County,Texas,48449,10.4
Tom Green County,Texas,48451,11.6
Travis County,Texas,48453,7.8
Trinity County,Texas,48455,26.8
Tyler County,Texas,48457,5.3
Upshur County,Texas,48459,16
Upton County,Texas,48461,6.5
Uvalde County,Texas,48463,14.8
Val Verde County,Texas,48465,7.9
Van Zandt County,Texas,48467,9.1
Victoria County,Texas,48469,17.1
Walker County,Texas,48471,16
Waller County,Texas,48473,11
Ward County,Texas,48475,21
Washington County,Texas,48477,13.6
Webb County,Texas,48479,6.9
Wharton County,Texas,48481,13.5
Wheeler County,Texas,48483,5.1
Wichita County,Texas,48485,13.8
Wilbarger County,Texas,48487,12.8
Willacy County,Texas,48489,24.2
Williamson County,Texas,48491,8.8
Wilson County,Texas,48493,11.1
Winkler County,Texas,48495,9.4
Wise County,Texas,48497,19.1
Wood County,Texas,48499,14.7
Yoakum County,Texas,48501,9.2
Young County,Texas,48503,16.6
Zapata County,Texas,48505,4.4
Zavala County,Texas,48507,3.8
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.,,,
